feature,importance
Monthly Supply,0.23369804672768896
New Inv,0.13434131937637064
Permits,0.12920170874636255
Sentiment Index,0.10821260101063536
Construction Spending,0.10814472498541453
30-Year Rate Avg,0.10564808177392525
GDP,0.09924028635253082
Median Price,0.08151323102707182
