DATE,WPU08
1937-11-01,8.9
1937-12-01,8.9
1938-01-01,8.7
1938-02-01,8.6
1938-03-01,8.6
1938-04-01,8.6
1938-05-01,8.3
1938-06-01,8.3
1938-07-01,8.3
1938-08-01,8.4
1938-09-01,8.5
1938-10-01,8.4
1938-11-01,8.4
1938-12-01,8.5
1939-01-01,8.6
1939-02-01,8.6
1939-03-01,8.6
1939-04-01,8.5
1939-05-01,8.5
1939-06-01,8.5
1939-07-01,8.6
1939-08-01,8.6
1939-09-01,8.7
1939-10-01,9.1
1939-11-01,9.2
1939-12-01,9.1
1940-01-01,9.1
1940-02-01,9.1
1940-03-01,9.1
1940-04-01,9.0
1940-05-01,9.0
1940-06-01,9.0
1940-07-01,9.0
1940-08-01,9.3
1940-09-01,10.1
1940-10-01,10.7
1940-11-01,11.0
1940-12-01,11.1
1941-01-01,11.1
1941-02-01,11.0
1941-03-01,11.0
1941-04-01,11.0
1941-05-01,11.0
1941-06-01,11.0
1941-07-01,11.4
1941-08-01,11.9
1941-09-01,12.0
1941-10-01,12.2
1941-11-01,12.1
1941-12-01,12.2
1942-01-01,12.4
1942-02-01,12.5
1942-03-01,12.5
1942-04-01,12.4
1942-05-01,12.4
1942-06-01,12.4
1942-07-01,12.5
1942-08-01,12.5
1942-09-01,12.5
1942-10-01,12.5
1942-11-01,12.6
1942-12-01,12.7
1943-01-01,12.7
1943-02-01,12.8
1943-03-01,12.8
1943-04-01,12.8
1943-05-01,12.9
1943-06-01,13.0
1943-07-01,13.1
1943-08-01,13.5
1943-09-01,13.7
1943-10-01,13.7
1943-11-01,13.8
1943-12-01,13.8
1944-01-01,13.8
1944-02-01,13.9
1944-03-01,14.1
1944-04-01,14.3
1944-05-01,14.4
1944-06-01,14.4
1944-07-01,14.4
1944-08-01,14.4
1944-09-01,14.4
1944-10-01,14.4
1944-11-01,14.4
1944-12-01,14.4
1945-01-01,14.4
1945-02-01,14.4
1945-03-01,14.4
1945-04-01,14.4
1945-05-01,14.4
1945-06-01,14.4
1945-07-01,14.5
1945-08-01,14.5
1945-09-01,14.5
1945-10-01,14.5
1945-11-01,14.5
1945-12-01,14.6
1946-01-01,14.7
1946-02-01,14.9
1946-03-01,15.5
1946-04-01,15.9
1946-05-01,16.1
1946-06-01,16.4
1946-07-01,16.5
1946-08-01,16.5
1946-09-01,16.6
1946-10-01,16.8
1946-11-01,17.9
1946-12-01,20.9
1947-01-01,23.4
1947-02-01,23.9
1947-03-01,24.7
1947-04-01,25.4
1947-05-01,25.5
1947-06-01,25.4
1947-07-01,25.5
1947-08-01,26.0
1947-09-01,26.6
1947-10-01,27.0
1947-11-01,27.7
1947-12-01,28.2
1948-01-01,28.7
1948-02-01,28.9
1948-03-01,29.2
1948-04-01,29.3
1948-05-01,29.6
1948-06-01,29.8
1948-07-01,30.0
1948-08-01,30.2
1948-09-01,30.1
1948-10-01,29.7
1948-11-01,29.5
1948-12-01,29.0
1949-01-01,28.7
1949-02-01,28.3
1949-03-01,28.1
1949-04-01,27.8
1949-05-01,27.4
1949-06-01,27.0
1949-07-01,26.6
1949-08-01,26.3
1949-09-01,26.4
1949-10-01,26.7
1949-11-01,27.0
1949-12-01,27.3
1950-01-01,27.7
1950-02-01,28.3
1950-03-01,28.9
1950-04-01,29.3
1950-05-01,30.3
1950-06-01,30.9
1950-07-01,31.7
1950-08-01,33.1
1950-09-01,34.3
1950-10-01,34.0
1950-11-01,33.8
1950-12-01,33.9
1951-01-01,34.6
1951-02-01,34.8
1951-03-01,34.9
1951-04-01,34.9
1951-05-01,34.8
1951-06-01,34.3
1951-07-01,34.1
1951-08-01,33.7
1951-09-01,33.5
1951-10-01,33.5
1951-11-01,33.4
1951-12-01,33.2
1952-01-01,33.1
1952-02-01,33.2
1952-03-01,33.2
1952-04-01,33.3
1952-05-01,33.3
1952-06-01,33.1
1952-07-01,33.2
1952-08-01,33.2
1952-09-01,33.2
1952-10-01,33.1
1952-11-01,33.0
1952-12-01,33.0
1953-01-01,33.2
