DATE,NFCI
1971-01-01,0.71750000000000000000
1971-02-01,0.89000000000000000000
1971-03-01,1.03500000000000000000
1971-04-01,1.2960000000000000
1971-05-01,1.4850000000000000
1971-06-01,1.16000000000000000000
1971-07-01,0.97200000000000000000
1971-08-01,1.7550000000000000
1971-09-01,2.2700000000000000
1971-10-01,1.8300000000000000
1971-11-01,1.4000000000000000
1971-12-01,1.3740000000000000
1972-01-01,1.11000000000000000000
1972-02-01,0.69250000000000000000
1972-03-01,0.44000000000000000000
1972-04-01,0.28250000000000000000
1972-05-01,0.10500000000000000000
1972-06-01,0.12600000000000000000
1972-07-01,0.30250000000000000000
1972-08-01,0.19750000000000000000
1972-09-01,-0.10000000000000000000
1972-10-01,-0.19250000000000000000
1972-11-01,-0.23500000000000000000
1972-12-01,-0.32200000000000000000
1973-01-01,-0.08500000000000000000
1973-02-01,0.54250000000000000000
1973-03-01,1.07200000000000000000
1973-04-01,1.11250000000000000000
1973-05-01,1.00250000000000000000
1973-06-01,0.98800000000000000000
1973-07-01,1.3100000000000000
1973-08-01,1.8500000000000000
1973-09-01,2.1575000000000000
1973-10-01,2.0550000000000000
1973-11-01,1.9000000000000000
1973-12-01,1.7650000000000000
1974-01-01,1.16500000000000000000
1974-02-01,0.46750000000000000000
1974-03-01,0.40000000000000000000
1974-04-01,1.2700000000000000
1974-05-01,2.7600000000000000
1974-06-01,4.2550000000000000
1974-07-01,4.9375000000000000
1974-08-01,4.6600000000000000
1974-09-01,4.0675000000000000
1974-10-01,3.4200000000000000
1974-11-01,2.7360000000000000
1974-12-01,2.3975000000000000
1975-01-01,1.8360000000000000
1975-02-01,1.08000000000000000000
1975-03-01,0.58500000000000000000
1975-04-01,0.23500000000000000000
1975-05-01,-0.13200000000000000000
1975-06-01,-0.37000000000000000000
1975-07-01,-0.43250000000000000000
1975-08-01,-0.39200000000000000000
1975-09-01,-0.22500000000000000000
1975-10-01,-0.04800000000000000000
1975-11-01,-0.04250000000000000000
1975-12-01,-0.24250000000000000000
1976-01-01,-0.57200000000000000000
1976-02-01,-0.78000000000000000000
1976-03-01,-0.83500000000000000000
1976-04-01,-0.78800000000000000000
1976-05-01,-0.64750000000000000000
1976-06-01,-0.60000000000000000000
1976-07-01,-0.70800000000000000000
1976-08-01,-0.82500000000000000000
1976-09-01,-0.85750000000000000000
1976-10-01,-0.84400000000000000000
1976-11-01,-0.78250000000000000000
1976-12-01,-0.75600000000000000000
1977-01-01,-0.85500000000000000000
1977-02-01,-0.94000000000000000000
1977-03-01,-0.91000000000000000000
1977-04-01,-0.78000000000000000000
1977-05-01,-0.62500000000000000000
1977-06-01,-0.55750000000000000000
1977-07-01,-0.56400000000000000000
1977-08-01,-0.52000000000000000000
1977-09-01,-0.40800000000000000000
1977-10-01,-0.27750000000000000000
1977-11-01,-0.19750000000000000000
1977-12-01,-0.19200000000000000000
1978-01-01,-0.23500000000000000000
1978-02-01,-0.22500000000000000000
1978-03-01,-0.08400000000000000000
1978-04-01,0.16500000000000000000
1978-05-01,0.40250000000000000000
1978-06-01,0.55400000000000000000
1978-07-01,0.55500000000000000000
1978-08-01,0.47500000000000000000
1978-09-01,0.63600000000000000000
1978-10-01,1.2775000000000000
1978-11-01,1.8450000000000000
1978-12-01,1.8540000000000000
1979-01-01,1.3525000000000000
1979-02-01,0.82500000000000000000
1979-03-01,0.42800000000000000000
1979-04-01,0.32000000000000000000
1979-05-01,0.43500000000000000000
1979-06-01,0.71000000000000000000
1979-07-01,1.03000000000000000000
1979-08-01,1.4160000000000000
1979-09-01,1.9125000000000000
1979-10-01,2.3225000000000000
1979-11-01,2.4220000000000000
1979-12-01,2.0725000000000000
1980-01-01,1.7925000000000000
1980-02-01,2.1600000000000000
1980-03-01,3.2900000000000000
1980-04-01,3.8975000000000000
1980-05-01,3.2020000000000000
1980-06-01,1.8925000000000000
1980-07-01,0.99750000000000000000
1980-08-01,0.81200000000000000000
1980-09-01,1.11250000000000000000
1980-10-01,1.6160000000000000
1980-11-01,2.4850000000000000
1980-12-01,3.1800000000000000
1981-01-01,2.9980000000000000
1981-02-01,2.2125000000000000
1981-03-01,1.7350000000000000
1981-04-01,1.8075000000000000
1981-05-01,2.3800000000000000
1981-06-01,3.0950000000000000
1981-07-01,3.4800000000000000
1981-08-01,3.3425000000000000
1981-09-01,3.0600000000000000
1981-10-01,2.8340000000000000
1981-11-01,2.5450000000000000
1981-12-01,2.1875000000000000
