DATE,COMPUTSA
1968-01-01,1257
1968-02-01,1174
1968-03-01,1323
1968-04-01,1328
1968-05-01,1367
1968-06-01,1184
1968-07-01,1370
1968-08-01,1279
1968-09-01,1397
1968-10-01,1348
1968-11-01,1367
1968-12-01,1390
1969-01-01,1257
1969-02-01,1414
1969-03-01,1558
1969-04-01,1318
1969-05-01,1430
1969-06-01,1455
1969-07-01,1432
1969-08-01,1393
1969-09-01,1367
1969-10-01,1406
1969-11-01,1404
1969-12-01,1402
1970-01-01,1434
1970-02-01,1430
1970-03-01,1317
1970-04-01,1354
1970-05-01,1334
1970-06-01,1431
1970-07-01,1384
1970-08-01,1609
1970-09-01,1383
1970-10-01,1437
1970-11-01,1457
1970-12-01,1437
1971-01-01,1471
1971-02-01,1448
1971-03-01,1489
1971-04-01,1709
1971-05-01,1637
1971-06-01,1637
1971-07-01,1699
1971-08-01,1896
1971-09-01,1804
1971-10-01,1815
1971-11-01,1844
1971-12-01,1895
1972-01-01,1942
1972-02-01,2061
1972-03-01,1981
1972-04-01,1970
1972-05-01,1896
1972-06-01,1936
1972-07-01,1930
1972-08-01,2102
1972-09-01,2053
1972-10-01,1995
1972-11-01,1985
1972-12-01,2121
1973-01-01,2162
1973-02-01,2124
1973-03-01,2196
1973-04-01,2195
1973-05-01,2299
1973-06-01,2258
1973-07-01,2066
1973-08-01,2056
1973-09-01,2061
1973-10-01,2052
1973-11-01,1925
1973-12-01,1869
1974-01-01,1932
1974-02-01,1938
1974-03-01,1806
1974-04-01,1830
1974-05-01,1715
1974-06-01,1897
1974-07-01,1695
1974-08-01,1634
1974-09-01,1651
1974-10-01,1630
1974-11-01,1590
1974-12-01,1540
1975-01-01,1588
1975-02-01,1346
1975-03-01,1293
1975-04-01,1278
1975-05-01,1349
1975-06-01,1234
1975-07-01,1276
1975-08-01,1290
1975-09-01,1333
1975-10-01,1134
1975-11-01,1383
1975-12-01,1306
1976-01-01,1258
1976-02-01,1311
1976-03-01,1347
1976-04-01,1332
1976-05-01,1440
1976-06-01,1390
1976-07-01,1322
1976-08-01,1374
1976-09-01,1371
1976-10-01,1388
1976-11-01,1428
1976-12-01,1457
1977-01-01,1457
1977-02-01,1655
1977-03-01,1619
1977-04-01,1548
1977-05-01,1555
1977-06-01,1636
1977-07-01,1687
1977-08-01,1673
1977-09-01,1865
1977-10-01,1675
1977-11-01,1770
1977-12-01,1634
1978-01-01,1777
1978-02-01,1719
1978-03-01,1785
1978-04-01,1843
1978-05-01,1850
1978-06-01,1905
1978-07-01,1957
1978-08-01,1976
1978-09-01,1944
1978-10-01,1885
1978-11-01,1877
1978-12-01,1844
1979-01-01,1850
1979-02-01,1845
1979-03-01,1946
1979-04-01,1866
1979-05-01,2007
1979-06-01,1853
1979-07-01,1759
1979-08-01,1779
1979-09-01,1983
1979-10-01,1832
1979-11-01,1892
1979-12-01,1863
1980-01-01,1794
1980-02-01,1803
1980-03-01,1701
1980-04-01,1751
1980-05-01,1532
1980-06-01,1480
1980-07-01,1472
1980-08-01,1440
1980-09-01,1267
1980-10-01,1272
1980-11-01,1313
1980-12-01,1378
1981-01-01,1270
1981-02-01,1395
1981-03-01,1377
1981-04-01,1469
1981-05-01,1246
1981-06-01,1350
1981-07-01,1337
1981-08-01,1222
1981-09-01,1221
1981-10-01,1206
1981-11-01,1074
1981-12-01,1129
1982-01-01,1052
1982-02-01,935
1982-03-01,965
1982-04-01,979
1982-05-01,1060
1982-06-01,930
1982-07-01,1006
1982-08-01,985
1982-09-01,947
1982-10-01,1059
1982-11-01,1079
1982-12-01,1047
1983-01-01,1187
1983-02-01,1135
1983-03-01,1168
1983-04-01,1197
1983-05-01,1300
1983-06-01,1344
1983-07-01,1410
1983-08-01,1711
1983-09-01,1493
1983-10-01,1586
1983-11-01,1462
1983-12-01,1509
1984-01-01,1595
1984-02-01,1562
1984-03-01,1600
1984-04-01,1683
1984-05-01,1732
1984-06-01,1714
1984-07-01,1692
1984-08-01,1685
1984-09-01,1642
1984-10-01,1633
1984-11-01,1611
1984-12-01,1629
1985-01-01,1646
1985-02-01,1772
1985-03-01,1715
1985-04-01,1630
1985-05-01,1665
1985-06-01,1791
1985-07-01,1693
1985-08-01,1685
1985-09-01,1806
1985-10-01,1565
1985-11-01,1749
1985-12-01,1732
1986-01-01,1723
1986-02-01,1753
1986-03-01,1756
1986-04-01,1685
1986-05-01,1833
1986-06-01,1672
1986-07-01,1722
1986-08-01,1763
1986-09-01,1732
1986-10-01,1782
1986-11-01,1793
1986-12-01,1840
1987-01-01,1862
1987-02-01,1771
1987-03-01,1694
1987-04-01,1735
1987-05-01,1713
1987-06-01,1635
1987-07-01,1685
1987-08-01,1624
1987-09-01,1587
1987-10-01,1577
1987-11-01,1578
1987-12-01,1632
1988-01-01,1554
1988-02-01,1450
1988-03-01,1600
1988-04-01,1615
1988-05-01,1483
1988-06-01,1512
1988-07-01,1527
1988-08-01,1551
1988-09-01,1531
1988-10-01,1529
1988-11-01,1407
1988-12-01,1547
1989-01-01,1561
1989-02-01,1597
1989-03-01,1442
1989-04-01,1542
1989-05-01,1449
1989-06-01,1346
1989-07-01,1386
1989-08-01,1429
1989-09-01,1338
1989-10-01,1333
1989-11-01,1475
1989-12-01,1304
1990-01-01,1508
1990-02-01,1352
1990-03-01,1345
1990-04-01,1332
1990-05-01,1351
1990-06-01,1263
1990-07-01,1295
1990-08-01,1307
1990-09-01,1312
