DATE,NASDAQCOM
1980-10-01,195.7578260869565217
1980-11-01,200.6855555555555556
1980-12-01,198.3986363636363636
1981-01-01,198.8176190476190476
1981-02-01,194.8521052631578947
1981-03-01,203.5931818181818182
1981-04-01,215.1200000000000000
1981-05-01,216.5435000000000000
1981-06-01,220.0404545454545455
1981-07-01,209.7209090909090909
1981-08-01,206.6261904761904762
1981-09-01,185.3723809523809524
1981-10-01,190.2013636363636364
1981-11-01,199.2290000000000000
1981-12-01,197.1495454545454545
1982-01-01,187.6785000000000000
1982-02-01,182.6284210526315789
1982-03-01,173.2839130434782609
1982-04-01,181.8442857142857143
1982-05-01,184.6070000000000000
1982-06-01,172.0750000000000000
1982-07-01,169.6252380952380952
1982-08-01,167.3827272727272727
1982-09-01,185.0928571428571429
1982-10-01,203.8619047619047619
1982-11-01,226.9704761904761905
1982-12-01,233.0304545454545455
1983-01-01,241.4780952380952381
1983-02-01,256.0584210526315789
1983-03-01,266.4521739130434783
1983-04-01,279.5280000000000000
1983-05-01,302.4380952380952381
1983-06-01,319.3490909090909091
1983-07-01,316.0940000000000000
1983-08-01,296.8739130434782609
1983-09-01,300.3700000000000000
1983-10-01,286.7228571428571429
1983-11-01,278.6666666666666667
1983-12-01,278.6557142857142857
1984-01-01,282.0042857142857143
1984-02-01,254.3865000000000000
1984-03-01,251.2500000000000000
1984-04-01,245.2070000000000000
1984-05-01,245.2431818181818182
1984-06-01,238.5161904761904762
1984-07-01,232.4038095238095238
1984-08-01,250.3460869565217391
1984-09-01,252.0047368421052632
1984-10-01,247.1539130434782609
1984-11-01,246.3980952380952381
1984-12-01,241.9120000000000000
1985-01-01,260.7986363636363636
1985-02-01,285.5210526315789474
1985-03-01,280.7966666666666667
1985-04-01,280.8947619047619048
1985-05-01,287.4604545454545455
1985-06-01,290.4375000000000000
1985-07-01,302.0427272727272727
1985-08-01,298.2472727272727273
1985-09-01,287.9331578947368421
1985-10-01,285.3582608695652174
1985-11-01,304.3525000000000000
1985-12-01,320.2323809523809524
1986-01-01,328.5209090909090909
1986-02-01,348.7863157894736842
1986-03-01,368.2315000000000000
1986-04-01,382.5413636363636364
1986-05-01,388.4871428571428571
1986-06-01,398.5952380952380952
1986-07-01,385.8854545454545455
1986-08-01,375.6171428571428571
1986-09-01,358.2933333333333333
1986-10-01,355.0326086956521739
1986-11-01,358.0789473684210526
1986-12-01,354.9213636363636364
1987-01-01,384.2271428571428571
1987-02-01,411.7126315789473684
1987-03-01,432.2045454545454545
1987-04-01,422.7714285714285714
1987-05-01,416.6340000000000000
1987-06-01,423.6959090909090909
1987-07-01,429.0068181818181818
1987-08-01,448.3847619047619048
1987-09-01,442.7985714285714286
1987-10-01,385.0536363636363636
1987-11-01,318.7530000000000000
1987-12-01,314.5381818181818182
1988-01-01,339.2790000000000000
1988-02-01,353.5780000000000000
1988-03-01,375.5430434782608696
1988-04-01,377.2355000000000000
1988-05-01,371.8809523809523810
1988-06-01,385.9818181818181818
1988-07-01,391.4015000000000000
1988-08-01,379.6065217391304348
1988-09-01,382.1566666666666667
1988-10-01,385.0085714285714286
1988-11-01,372.8914285714285714
1988-12-01,375.7828571428571429
1989-01-01,389.3209523809523810
1989-02-01,404.0821052631578947
1989-03-01,403.9959090909090909
1989-04-01,417.1300000000000000
1989-05-01,435.9931818181818182
1989-06-01,447.5827272727272727
1989-07-01,446.6965000000000000
1989-08-01,461.8278260869565217
1989-09-01,469.2785000000000000
1989-10-01,469.6809090909090909
1989-11-01,454.6971428571428571
1989-12-01,449.0145000000000000
1990-01-01,439.3504545454545455
1990-02-01,424.5242105263157895
1990-03-01,436.0904545454545455
1990-04-01,428.9930000000000000
1990-05-01,442.5981818181818182
1990-06-01,462.3061904761904762
1990-07-01,455.8242857142857143
1990-08-01,396.3226086956521739
1990-09-01,368.5663157894736842
1990-10-01,338.0134782608695652
1990-11-01,347.6942857142857143
1990-12-01,370.2125000000000000
1991-01-01,376.6722727272727273
1991-02-01,442.5868421052631579
1991-03-01,469.1010000000000000
1991-04-01,496.3190909090909091
1991-05-01,490.9336363636363636
1991-06-01,490.3750000000000000
1991-07-01,489.3686363636363636
1991-08-01,513.2509090909090909
1991-09-01,520.5595000000000000
1991-10-01,528.9239130434782609
1991-11-01,536.5835000000000000
1991-12-01,544.1009523809523810
1992-01-01,615.7340909090909091
1992-02-01,632.0484210526315789
1992-03-01,619.5990909090909091
1992-04-01,582.7904761904761905
1992-05-01,581.4730000000000000
1992-06-01,566.6586363636363636
1992-07-01,568.7168181818181818
1992-08-01,568.9971428571428571
1992-09-01,580.6809523809523810
1992-10-01,585.0118181818181818
1992-11-01,630.8635000000000000
1992-12-01,661.2804545454545455
1993-01-01,691.1345000000000000
1993-02-01,681.7178947368421053
1993-03-01,684.4908695652173913
1993-04-01,665.3295238095238095
1993-05-01,686.4510000000000000
1993-06-01,695.3827272727272727
1993-07-01,703.3952380952380952
1993-08-01,725.1486363636363636
1993-09-01,745.9433333333333333
1993-10-01,771.3071428571428571
1993-11-01,764.0385714285714286
1993-12-01,762.9440909090909091
1994-01-01,787.7685714285714286
1994-02-01,787.8094736842105263
1994-03-01,785.9252173913043478
1994-04-01,732.2952631578947368
1994-05-01,727.7642857142857143
1994-06-01,723.2095454545454545
1994-07-01,713.4900000000000000
1994-08-01,738.8678260869565217
1994-09-01,763.9380952380952381
1994-10-01,762.4576190476190476
1994-11-01,760.4190476190476190
1994-12-01,734.9914285714285714
1995-01-01,758.0123809523809524
1995-02-01,784.2436842105263158
1995-03-01,807.1621739130434783
