DATE,MORTGAGE30US_NBD19710401
1990-07-01,137.27770
1990-08-01,138.16689
1990-09-01,139.19289
1990-10-01,139.22709
1990-11-01,136.99042
1990-12-01,132.31874
1991-01-01,131.83995
1991-02-01,128.11218
1991-03-01,129.95896
1991-04-01,129.85636
1991-05-01,129.57592
1991-06-01,131.53215
1991-07-01,130.98495
1991-08-01,126.45691
1991-09-01,123.22161
1991-10-01,121.13543
1991-11-01,119.17921
1991-12-01,116.24487
1992-01-01,115.34884
1992-02-01,119.87004
1992-03-01,122.22982
1992-04-01,121.10123
1992-05-01,118.63201
1992-06-01,116.41587
1992-07-01,111.19015
1992-08-01,109.09713
1992-09-01,108.37893
1992-10-01,110.64295
1992-11-01,113.61149
1992-12-01,112.25718
1993-01-01,109.33653
1993-02-01,105.09576
1993-03-01,102.53078
1993-04-01,102.21614
1993-05-01,102.12038
1993-06-01,101.47059
1993-07-01,98.57729
1993-08-01,97.29822
1993-09-01,94.59644
1993-10-01,93.48837
1993-11-01,97.87962
1993-12-01,98.11218
1994-01-01,96.58003
1994-02-01,97.84542
1994-03-01,104.99316
1994-04-01,113.76197
1994-05-01,117.61286
1994-06-01,114.87688
1994-07-01,117.83858
1994-08-01,116.45007
1994-09-01,118.19425
1994-10-01,122.09302
1994-11-01,125.44460
1994-12-01,125.82763
1995-01-01,125.13680
1995-02-01,120.75923
1995-03-01,115.75923
1995-04-01,113.81669
1995-05-01,108.82353
1995-06-01,103.50205
1995-07-01,104.06977
1995-08-01,107.52394
1995-09-01,104.45964
1995-10-01,102.25718
1995-11-01,100.92339
1995-12-01,98.49521
1996-01-01,96.16963
1996-02-01,96.78523
1996-03-01,104.29549
1996-04-01,108.41313
1996-05-01,110.39672
1996-06-01,113.81669
1996-07-01,112.79070
1996-08-01,109.46648
1996-09-01,112.58550
1996-10-01,108.27633
1996-11-01,104.21341
1996-12-01,103.93297
1997-01-01,107.03146
1997-02-01,104.65116
1997-03-01,108.03694
1997-04-01,111.38851
1997-05-01,108.67305
1997-06-01,105.19836
1997-07-01,102.56498
1997-08-01,102.32558
1997-09-01,101.64159
1997-10-01,99.78112
1997-11-01,98.56361
1997-12-01,97.05882
1998-01-01,95.67715
1998-02-01,96.34063
1998-03-01,97.50342
1998-04-01,97.67442
1998-05-01,97.72914
1998-06-01,95.72503
1998-07-01,95.10260
1998-08-01,94.69904
1998-09-01,91.96306
1998-10-01,91.79207
1998-11-01,93.91245
1998-12-01,92.17510
1999-01-01,92.81806
1999-02-01,93.12585
1999-03-01,96.30643
1999-04-01,94.61012
1999-05-01,97.74282
1999-06-01,103.28317
1999-07-01,104.40492
1999-08-01,108.65253
1999-09-01,107.01094
1999-10-01,107.41450
1999-11-01,105.84815
1999-12-01,108.23529
2000-01-01,112.31190
2000-02-01,113.88509
2000-03-01,112.72230
2000-04-01,111.52531
2000-05-01,116.48427
2000-06-01,113.37893
2000-07-01,111.45691
2000-08-01,109.81532
2000-09-01,108.23529
2000-10-01,106.63475
2000-11-01,105.95075
2000-12-01,100.98495
2001-01-01,96.20383
2001-02-01,96.44323
2001-03-01,95.10260
2001-04-01,96.81943
2001-05-01,97.74282
2001-06-01,97.94802
2001-07-01,97.50342
2001-08-01,95.07524
